assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL425165,nM,150.0,uM,0.15,"{'alogp': '4.38', 'aromatic_rings': 0, 'full_molformula': 'C18H36N2O4', 'full_mwt': '344.50', 'hba': 4, 'hbd': 2, 'heavy_atoms': 24, 'mw_freebase': '344.50', 'np_likeness_score': '-0.27', 'num_ro5_violations': 0, 'psa': '76.66', 'qed_weighted': '0.43', 'ro3_pass': 'N', 'rtb': 15}",6.823908740944319
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL185000,nM,160.0,uM,0.16,"{'alogp': '5.16', 'aromatic_rings': 0, 'full_molformula': 'C20H40N2O4', 'full_mwt': '372.55', 'hba': 4, 'hbd': 2, 'heavy_atoms': 26, 'mw_freebase': '372.55', 'np_likeness_score': '-0.25', 'num_ro5_violations': 1, 'psa': '76.66', 'qed_weighted': '0.35', 'ro3_pass': 'N', 'rtb': 17}",6.795880017344075
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL184946,nM,160.0,uM,0.16,"{'alogp': '5.94', 'aromatic_rings': 0, 'full_molformula': 'C22H44N2O4', 'full_mwt': '400.60', 'hba': 4, 'hbd': 2, 'heavy_atoms': 28, 'mw_freebase': '400.60', 'np_likeness_score': '-0.24', 'num_ro5_violations': 1, 'psa': '76.66', 'qed_weighted': '0.26', 'ro3_pass': 'N', 'rtb': 19}",6.795880017344075
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL185164,nM,160.0,uM,0.16,"{'alogp': '6.72', 'aromatic_rings': 0, 'full_molformula': 'C24H48N2O4', 'full_mwt': '428.66', 'hba': 4, 'hbd': 2, 'heavy_atoms': 30, 'mw_freebase': '428.66', 'np_likeness_score': '-0.22', 'num_ro5_violations': 1, 'psa': '76.66', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 21}",6.795880017344075
Inhibition constant for acetylcholinesterase,CHEMBL1141982,CHEMBL362685,nM,170.0,uM,0.17,"{'alogp': '7.50', 'aromatic_rings': 0, 'full_molformula': 'C26H52N2O4', 'full_mwt': '456.71', 'hba': 4, 'hbd': 2, 'heavy_atoms': 32, 'mw_freebase': '456.71', 'np_likeness_score': '-0.21', 'num_ro5_violations': 1, 'psa': '76.66', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 23}",6.769551078621726
Inhibition constant against human Acetylcholinesterase (hAcChE) using acetylthiocholine (AcTCh) as substrate,CHEMBL1143603,CHEMBL8320,nM,955.0,nM,955.0,"{'alogp': '0.25', 'aromatic_rings': 0, 'full_molformula': 'C6H4O2', 'full_mwt': '108.10', 'hba': 2, 'hbd': 0, 'heavy_atoms': 8, 'mw_freebase': '108.10', 'np_likeness_score': '0.59', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.42', 'ro3_pass': 'Y', 'rtb': 0}",6.019996628416254
Inhibition constant against human Acetylcholinesterase (hAcChE) using acetylthiocholine (AcTCh) as substrate,CHEMBL1143603,CHEMBL364729,nM,1670.0,nM,1670.0,"{'alogp': '2.52', 'aromatic_rings': 0, 'full_molformula': 'C6Cl4O2', 'full_mwt': '245.88', 'hba': 2, 'hbd': 0, 'heavy_atoms': 12, 'mw_freebase': '245.88', 'np_likeness_score': '0.11', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.49', 'ro3_pass': 'Y', 'rtb': 0}",5.777283528852417
Inhibition constant against human Acetylcholinesterase (hAcChE) using acetylthiocholine (AcTCh) as substrate,CHEMBL1143603,CHEMBL192627,nM,163.0,nM,163.0,"{'alogp': '2.52', 'aromatic_rings': 0, 'full_molformula': 'C6Cl4O2', 'full_mwt': '245.88', 'hba': 2, 'hbd': 0, 'heavy_atoms': 12, 'mw_freebase': '245.88', 'np_likeness_score': '0.00', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.62', 'ro3_pass': 'Y', 'rtb': 0}",6.787812395596042
Inhibition of human AChE,CHEMBL1148525,CHEMBL208092,nM,16.5,nM,16.5,"{'alogp': '7.47', 'aromatic_rings': 2, 'full_molformula': 'C34H50N4', 'full_mwt': '514.80', 'hba': 4, 'hbd': 3, 'heavy_atoms': 38, 'mw_freebase': '514.80', 'np_likeness_score': '0.48', 'num_ro5_violations': 2, 'psa': '62.97', 'qed_weighted': '0.23', 'ro3_pass': 'N', 'rtb': 10}",7.782516055786093
Inhibition of human AChE,CHEMBL1148525,CHEMBL395280,nM,47.0,nM,47.0,"{'alogp': '2.00', 'aromatic_rings': 1, 'full_molformula': 'C15H18N2O', 'full_mwt': '242.32', 'hba': 2, 'hbd': 2, 'heavy_atoms': 18, 'mw_freebase': '242.32', 'np_likeness_score': '2.32', 'num_ro5_violations': 0, 'psa': '58.88', 'qed_weighted': '0.68', 'ro3_pass': 'Y', 'rtb': 0}",7.327902142064283
Inhibition of human AChE,CHEMBL1148525,CHEMBL210453,nM,6.4,nM,6.4,"{'alogp': '7.30', 'aromatic_rings': 2, 'full_molformula': 'C34H47N3O2', 'full_mwt': '529.77', 'hba': 5, 'hbd': 2, 'heavy_atoms': 39, 'mw_freebase': '529.77', 'np_likeness_score': '0.35', 'num_ro5_violations': 2, 'psa': '63.25', 'qed_weighted': '0.18', 'ro3_pass': 'N', 'rtb': 11}",8.193820026016112
Inhibition of human AChE,CHEMBL1148525,CHEMBL382423,nM,15.7,nM,15.7,"{'alogp': '6.84', 'aromatic_rings': 2, 'full_molformula': 'C32H46N4', 'full_mwt': '486.75', 'hba': 4, 'hbd': 3, 'heavy_atoms': 36, 'mw_freebase': '486.75', 'np_likeness_score': '0.39', 'num_ro5_violations': 1, 'psa': '62.97', 'qed_weighted': '0.25', 'ro3_pass': 'N', 'rtb': 10}",7.804100347590766
Binding affinity to human AChE,CHEMBL1137340,CHEMBL536047,nM,0.033,pM,33.0,"{'alogp': '4.47', 'aromatic_rings': 2, 'full_molformula': 'C17H18Cl2N2', 'full_mwt': '321.25', 'hba': 2, 'hbd': 1, 'heavy_atoms': 20, 'mw_freebase': '284.79', 'np_likeness_score': '0.03', 'num_ro5_violations': 0, 'psa': '38.91', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 0}",10.481486060122112
Inhibition of human AChE,CHEMBL1144473,CHEMBL375126,nM,48200.0,uM,48.2,"{'alogp': '3.72', 'aromatic_rings': 2, 'full_molformula': 'C15H9Cl2NO2', 'full_mwt': '306.15', 'hba': 2, 'hbd': 0, 'heavy_atoms': 20, 'mw_freebase': '306.15', 'np_likeness_score': '-1.22', 'num_ro5_violations': 0, 'psa': '37.38', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 2}",4.31695296176115
Inhibition of human AChE,CHEMBL1144473,CHEMBL222752,nM,3280.0,uM,3.28,"{'alogp': '4.74', 'aromatic_rings': 4, 'full_molformula': 'C31H22N2O4', 'full_mwt': '486.53', 'hba': 4, 'hbd': 0, 'heavy_atoms': 37, 'mw_freebase': '486.53', 'np_likeness_score': '-0.36', 'num_ro5_violations': 0, 'psa': '74.76', 'qed_weighted': '0.37', 'ro3_pass': 'N', 'rtb': 6}",5.484126156288321
Inhibition of human recombinant AChE,CHEMBL1149275,CHEMBL222856,nM,104.0,nM,104.0,"{'alogp': '7.65', 'aromatic_rings': 2, 'full_molformula': 'C42H68N4O8', 'full_mwt': '757.03', 'hba': 6, 'hbd': 0, 'heavy_atoms': 48, 'mw_freebase': '666.99', 'np_likeness_score': '-0.51', 'num_ro5_violations': 2, 'psa': '65.56', 'qed_weighted': '0.09', 'ro3_pass': 'N', 'rtb': 27}",6.982966660701219
Inhibition of human recombinant AChE,CHEMBL1149275,CHEMBL385130,nM,12.2,nM,12.2,"{'alogp': '8.43', 'aromatic_rings': 2, 'full_molformula': 'C44H72N4O8', 'full_mwt': '785.08', 'hba': 6, 'hbd': 0, 'heavy_atoms': 50, 'mw_freebase': '695.05', 'np_likeness_score': '-0.56', 'num_ro5_violations': 2, 'psa': '65.56', 'qed_weighted': '0.08', 'ro3_pass': 'N', 'rtb': 29}",7.913640169325252
Inhibition of human recombinant AChE,CHEMBL1149275,CHEMBL222904,nM,5.67,nM,5.67,"{'alogp': '7.65', 'aromatic_rings': 2, 'full_molformula': 'C44H68N4O8', 'full_mwt': '781.05', 'hba': 6, 'hbd': 0, 'heavy_atoms': 50, 'mw_freebase': '691.01', 'np_likeness_score': '-0.52', 'num_ro5_violations': 2, 'psa': '65.56', 'qed_weighted': '0.13', 'ro3_pass': 'N', 'rtb': 21}",8.246416941107093
Inhibition of human brain AchE,CHEMBL1139473,CHEMBL225567,nM,0.014,pM,14.0,"{'alogp': '6.97', 'aromatic_rings': 4, 'full_molformula': 'C30H35ClN4O', 'full_mwt': '503.09', 'hba': 3, 'hbd': 3, 'heavy_atoms': 36, 'mw_freebase': '503.09', 'np_likeness_score': '-0.84', 'num_ro5_violations': 2, 'psa': '69.81', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 11}",10.853871964321762
Inhibition of human brain AchE,CHEMBL1139473,CHEMBL225198,nM,0.009,pM,9.0,"{'alogp': '7.36', 'aromatic_rings': 4, 'full_molformula': 'C31H37ClN4O', 'full_mwt': '517.12', 'hba': 3, 'hbd': 3, 'heavy_atoms': 37, 'mw_freebase': '517.12', 'np_likeness_score': '-0.81', 'num_ro5_violations': 2, 'psa': '69.81', 'qed_weighted': '0.17', 'ro3_pass': 'N', 'rtb': 12}",11.045757490560675
Inhibition of human brain AchE,CHEMBL1139473,CHEMBL223443,nM,0.015,pM,15.0,"{'alogp': '6.97', 'aromatic_rings': 4, 'full_molformula': 'C30H35ClN4O', 'full_mwt': '503.09', 'hba': 3, 'hbd': 3, 'heavy_atoms': 36, 'mw_freebase': '503.09', 'np_likeness_score': '-0.91', 'num_ro5_violations': 2, 'psa': '69.81', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 11}",10.823908740944319
Inhibition of human brain AchE,CHEMBL1139473,CHEMBL225326,nM,0.02,pM,20.0,"{'alogp': '7.73', 'aromatic_rings': 4, 'full_molformula': 'C30H34BrClN4O', 'full_mwt': '581.99', 'hba': 3, 'hbd': 3, 'heavy_atoms': 37, 'mw_freebase': '581.99', 'np_likeness_score': '-0.95', 'num_ro5_violations': 2, 'psa': '69.81', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 11}",10.698970004336019
Inhibition of human brain AchE,CHEMBL1139473,CHEMBL225021,nM,0.0017,pM,1.7,"{'alogp': '6.97', 'aromatic_rings': 4, 'full_molformula': 'C30H35ClN4O', 'full_mwt': '503.09', 'hba': 3, 'hbd': 3, 'heavy_atoms': 36, 'mw_freebase': '503.09', 'np_likeness_score': '-0.81', 'num_ro5_violations': 2, 'psa': '69.81', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 11}",11.769551078621726
Inhibition of human acetylcholinesterase 1,CHEMBL1138234,CHEMBL433282,nM,850.0,nM,850.0,"{'alogp': '2.64', 'aromatic_rings': 2, 'full_molformula': 'C14H7NO4', 'full_mwt': '253.21', 'hba': 4, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '253.21', 'np_likeness_score': '-0.51', 'num_ro5_violations': 0, 'psa': '77.28', 'qed_weighted': '0.44', 'ro3_pass': 'N', 'rtb': 1}",6.070581074285707
Inhibition of human acetylcholinesterase 1,CHEMBL1138234,CHEMBL235289,nM,903.0,nM,903.0,"{'alogp': '2.04', 'aromatic_rings': 2, 'full_molformula': 'C12H4N2O6', 'full_mwt': '272.17', 'hba': 6, 'hbd': 0, 'heavy_atoms': 20, 'mw_freebase': '272.17', 'np_likeness_score': '-0.22', 'num_ro5_violations': 0, 'psa': '120.42', 'qed_weighted': '0.47', 'ro3_pass': 'N', 'rtb': 2}",6.044312249686494
Inhibition of human acetylcholinesterase 1,CHEMBL1138234,CHEMBL52347,nM,320.0,nM,320.0,"{'alogp': '1.47', 'aromatic_rings': 1, 'full_molformula': 'C10H6O2', 'full_mwt': '158.16', 'hba': 2, 'hbd': 0, 'heavy_atoms': 12, 'mw_freebase': '158.16', 'np_likeness_score': '0.75', 'num_ro5_violations': 0, 'psa': '34.14', 'qed_weighted': '0.54', 'ro3_pass': 'Y', 'rtb': 0}",6.494850021680094
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL402976,nM,313700.0,uM,313.7,"{'alogp': '1.19', 'aromatic_rings': 1, 'full_molformula': 'C10H15N3O2', 'full_mwt': '209.25', 'hba': 4, 'hbd': 1, 'heavy_atoms': 15, 'mw_freebase': '209.25', 'np_likeness_score': '-1.49', 'num_ro5_violations': 0, 'psa': '54.46', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 4}",3.503485481302255
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL537454,nM,140200.0,uM,140.2,"{'alogp': '2.50', 'aromatic_rings': 1, 'full_molformula': 'C10H14Cl3N3O2', 'full_mwt': '314.60', 'hba': 4, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '278.14', 'np_likeness_score': '-1.40', 'num_ro5_violations': 0, 'psa': '54.46', 'qed_weighted': '0.86', 'ro3_pass': 'N', 'rtb': 4}",3.85325198636936
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL3216883,nM,316400.0,uM,316.4,"{'alogp': '1.95', 'aromatic_rings': 1, 'full_molformula': 'C10H16BrCl2N3O2', 'full_mwt': '361.07', 'hba': 4, 'hbd': 1, 'heavy_atoms': 16, 'mw_freebase': '288.14', 'np_likeness_score': '-1.49', 'num_ro5_violations': 0, 'psa': '54.46', 'qed_weighted': '0.92', 'ro3_pass': 'N', 'rtb': 4}",3.499763525174361
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL3216205,nM,207700.0,uM,207.7,"{'alogp': '1.85', 'aromatic_rings': 1, 'full_molformula': 'C10H17Cl4N3O2', 'full_mwt': '353.08', 'hba': 4, 'hbd': 1, 'heavy_atoms': 16, 'mw_freebase': '243.69', 'np_likeness_score': '-1.65', 'num_ro5_violations': 0, 'psa': '54.46', 'qed_weighted': '0.82', 'ro3_pass': 'N', 'rtb': 4}",3.682563503464901
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL254302,nM,64400.0,uM,64.4,"{'alogp': '2.64', 'aromatic_rings': 1, 'full_molformula': 'C11H16Cl2IN3O2', 'full_mwt': '420.08', 'hba': 3, 'hbd': 1, 'heavy_atoms': 18, 'mw_freebase': '293.17', 'np_likeness_score': '-0.66', 'num_ro5_violations': 0, 'psa': '51.22', 'qed_weighted': '0.69', 'ro3_pass': 'N', 'rtb': 4}",4.1911141326401875
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL254300,nM,115900.0,uM,115.9,"{'alogp': '2.10', 'aromatic_rings': 1, 'full_molformula': 'C11H17BrIN3O2', 'full_mwt': '430.08', 'hba': 3, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '303.18', 'np_likeness_score': '-0.70', 'num_ro5_violations': 0, 'psa': '51.22', 'qed_weighted': '0.87', 'ro3_pass': 'N', 'rtb': 4}",3.935916564036404
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL402977,nM,150900.0,uM,150.9,"{'alogp': '1.99', 'aromatic_rings': 1, 'full_molformula': 'C11H17ClIN3O2', 'full_mwt': '385.63', 'hba': 3, 'hbd': 1, 'heavy_atoms': 17, 'mw_freebase': '258.73', 'np_likeness_score': '-0.85', 'num_ro5_violations': 0, 'psa': '51.22', 'qed_weighted': '0.66', 'ro3_pass': 'N', 'rtb': 4}",3.82131076022441
Inhibition of acetylcholinesterase,CHEMBL1140781,CHEMBL254299,nM,159000.0,uM,159.0,"{'alogp': '1.34', 'aromatic_rings': 1, 'full_molformula': 'C11H18IN3O2', 'full_mwt': '351.19', 'hba': 3, 'hbd': 1, 'heavy_atoms': 16, 'mw_freebase': '224.28', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '51.22', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",3.7986028756795487
Inhibition of human AchE,CHEMBL1141467,CHEMBL231160,nM,2.6,nM,2.6,"{'alogp': '6.27', 'aromatic_rings': 2, 'full_molformula': 'C38H56N4O4', 'full_mwt': '632.89', 'hba': 8, 'hbd': 2, 'heavy_atoms': 46, 'mw_freebase': '632.89', 'np_likeness_score': '-0.18', 'num_ro5_violations': 2, 'psa': '83.14', 'qed_weighted': '0.10', 'ro3_pass': 'N', 'rtb': 24}",8.585026652029182
Inhibition of AChE,CHEMBL1212814,CHEMBL231160,nM,2.6,nM,2.6,"{'alogp': '6.27', 'aromatic_rings': 2, 'full_molformula': 'C38H56N4O4', 'full_mwt': '632.89', 'hba': 8, 'hbd': 2, 'heavy_atoms': 46, 'mw_freebase': '632.89', 'np_likeness_score': '-0.18', 'num_ro5_violations': 2, 'psa': '83.14', 'qed_weighted': '0.10', 'ro3_pass': 'N', 'rtb': 24}",8.585026652029182
Binding affinity to human AChE assessed as inhibition constant,CHEMBL5107969,CHEMBL231160,nM,2.6,nM,2.6,"{'alogp': '6.27', 'aromatic_rings': 2, 'full_molformula': 'C38H56N4O4', 'full_mwt': '632.89', 'hba': 8, 'hbd': 2, 'heavy_atoms': 46, 'mw_freebase': '632.89', 'np_likeness_score': '-0.18', 'num_ro5_violations': 2, 'psa': '83.14', 'qed_weighted': '0.10', 'ro3_pass': 'N', 'rtb': 24}",8.585026652029182
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL495711,nM,1908.0,nM,1908.0,"{'alogp': '2.74', 'aromatic_rings': 3, 'full_molformula': 'C24H26N4O2', 'full_mwt': '402.50', 'hba': 4, 'hbd': 3, 'heavy_atoms': 30, 'mw_freebase': '402.50', 'np_likeness_score': '-0.72', 'num_ro5_violations': 0, 'psa': '97.11', 'qed_weighted': '0.59', 'ro3_pass': 'N', 'rtb': 6}",5.719421629631924
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL522073,nM,6320.0,nM,6320.0,"{'alogp': '3.00', 'aromatic_rings': 3, 'full_molformula': 'C25H28N4O2', 'full_mwt': '416.53', 'hba': 4, 'hbd': 3, 'heavy_atoms': 31, 'mw_freebase': '416.53', 'np_likeness_score': '-0.61', 'num_ro5_violations': 0, 'psa': '83.12', 'qed_weighted': '0.55', 'ro3_pass': 'N', 'rtb': 7}",5.199282921717615
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL496946,nM,11190.0,nM,11190.0,"{'alogp': '3.89', 'aromatic_rings': 4, 'full_molformula': 'C28H28N4O2', 'full_mwt': '452.56', 'hba': 4, 'hbd': 3, 'heavy_atoms': 34, 'mw_freebase': '452.56', 'np_likeness_score': '-0.63', 'num_ro5_violations': 0, 'psa': '97.11', 'qed_weighted': '0.41', 'ro3_pass': 'N', 'rtb': 6}",4.95116991347165
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL521874,nM,4130.0,nM,4130.0,"{'alogp': '2.88', 'aromatic_rings': 3, 'full_molformula': 'C25H26N4O2', 'full_mwt': '414.51', 'hba': 4, 'hbd': 3, 'heavy_atoms': 31, 'mw_freebase': '414.51', 'np_likeness_score': '-0.77', 'num_ro5_violations': 0, 'psa': '83.12', 'qed_weighted': '0.61', 'ro3_pass': 'N', 'rtb': 4}",5.384049948343599
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL495712,nM,2214.0,nM,2214.0,"{'alogp': '3.22', 'aromatic_rings': 4, 'full_molformula': 'C26H27N5O2', 'full_mwt': '441.54', 'hba': 4, 'hbd': 4, 'heavy_atoms': 33, 'mw_freebase': '441.54', 'np_likeness_score': '-0.64', 'num_ro5_violations': 0, 'psa': '112.90', 'qed_weighted': '0.37', 'ro3_pass': 'N', 'rtb': 6}",5.654822383457296
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL496126,nM,3330.0,nM,3330.0,"{'alogp': '3.48', 'aromatic_rings': 4, 'full_molformula': 'C27H29N5O2', 'full_mwt': '455.56', 'hba': 4, 'hbd': 4, 'heavy_atoms': 34, 'mw_freebase': '455.56', 'np_likeness_score': '-0.55', 'num_ro5_violations': 0, 'psa': '98.91', 'qed_weighted': '0.34', 'ro3_pass': 'N', 'rtb': 7}",5.47755576649368
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL508778,nM,7970.0,nM,7970.0,"{'alogp': '5.18', 'aromatic_rings': 4, 'full_molformula': 'C32H37N5O4', 'full_mwt': '555.68', 'hba': 5, 'hbd': 4, 'heavy_atoms': 41, 'mw_freebase': '555.68', 'np_likeness_score': '-0.84', 'num_ro5_violations': 2, 'psa': '125.21', 'qed_weighted': '0.24', 'ro3_pass': 'N', 'rtb': 8}",5.098541678603888
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL496127,nM,34030.0,nM,34030.0,"{'alogp': '3.61', 'aromatic_rings': 4, 'full_molformula': 'C27H29N5O2', 'full_mwt': '455.56', 'hba': 4, 'hbd': 4, 'heavy_atoms': 34, 'mw_freebase': '455.56', 'np_likeness_score': '-0.68', 'num_ro5_violations': 0, 'psa': '112.90', 'qed_weighted': '0.34', 'ro3_pass': 'N', 'rtb': 7}",4.468138050904191
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL502244,nM,130.0,nM,130.0,"{'alogp': '5.26', 'aromatic_rings': 4, 'full_molformula': 'C31H37N5O3', 'full_mwt': '527.67', 'hba': 5, 'hbd': 4, 'heavy_atoms': 39, 'mw_freebase': '527.67', 'np_likeness_score': '-0.74', 'num_ro5_violations': 2, 'psa': '108.14', 'qed_weighted': '0.23', 'ro3_pass': 'N', 'rtb': 8}",6.886056647693163
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL525917,nM,280.0,nM,280.0,"{'alogp': '3.69', 'aromatic_rings': 4, 'full_molformula': 'C26H29N5O', 'full_mwt': '427.55', 'hba': 4, 'hbd': 4, 'heavy_atoms': 32, 'mw_freebase': '427.55', 'np_likeness_score': '-0.54', 'num_ro5_violations': 0, 'psa': '95.83', 'qed_weighted': '0.34', 'ro3_pass': 'N', 'rtb': 7}",6.552841968657781
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL504571,nM,15.4,nM,15.4,"{'alogp': '5.97', 'aromatic_rings': 4, 'full_molformula': 'C40H51N7O4', 'full_mwt': '693.89', 'hba': 8, 'hbd': 5, 'heavy_atoms': 51, 'mw_freebase': '693.89', 'np_likeness_score': '-0.58', 'num_ro5_violations': 2, 'psa': '146.37', 'qed_weighted': '0.11', 'ro3_pass': 'N', 'rtb': 13}",7.8124792791635365
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL397271,nM,6.21,nM,6.21,"{'alogp': '4.40', 'aromatic_rings': 4, 'full_molformula': 'C35H43N7O2', 'full_mwt': '593.78', 'hba': 7, 'hbd': 5, 'heavy_atoms': 44, 'mw_freebase': '593.78', 'np_likeness_score': '-0.43', 'num_ro5_violations': 1, 'psa': '134.06', 'qed_weighted': '0.15', 'ro3_pass': 'N', 'rtb': 12}",8.20690839982342
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL451304,nM,6.75,nM,6.75,"{'alogp': '6.82', 'aromatic_rings': 4, 'full_molformula': 'C38H48N6O', 'full_mwt': '604.84', 'hba': 6, 'hbd': 3, 'heavy_atoms': 45, 'mw_freebase': '604.84', 'np_likeness_score': '-0.74', 'num_ro5_violations': 2, 'psa': '82.18', 'qed_weighted': '0.15', 'ro3_pass': 'N', 'rtb': 12}",8.170696227168975
Inhibition of human recombinant AChE,CHEMBL1141710,CHEMBL129108,nM,27.9,nM,27.9,"{'alogp': '9.09', 'aromatic_rings': 4, 'full_molformula': 'C34H41N3S', 'full_mwt': '523.79', 'hba': 4, 'hbd': 1, 'heavy_atoms': 38, 'mw_freebase': '523.79', 'np_likeness_score': '-0.65', 'num_ro5_violations': 2, 'psa': '37.81', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 11}",7.554395796726403
Inhibition of human recombinant AChE,CHEMBL1150386,CHEMBL129108,nM,27.95,pM,27950.0,"{'alogp': '9.09', 'aromatic_rings': 4, 'full_molformula': 'C34H41N3S', 'full_mwt': '523.79', 'hba': 4, 'hbd': 1, 'heavy_atoms': 38, 'mw_freebase': '523.79', 'np_likeness_score': '-0.65', 'num_ro5_violations': 2, 'psa': '37.81', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 11}",7.553618187777558
Inhibition of human acetylcholine esterase,CHEMBL3098022,CHEMBL129108,nM,28.0,nM,28.0,"{'alogp': '9.09', 'aromatic_rings': 4, 'full_molformula': 'C34H41N3S', 'full_mwt': '523.79', 'hba': 4, 'hbd': 1, 'heavy_atoms': 38, 'mw_freebase': '523.79', 'np_likeness_score': '-0.65', 'num_ro5_violations': 2, 'psa': '37.81', 'qed_weighted': '0.16', 'ro3_pass': 'N', 'rtb': 11}",7.552841968657781
Inhibition of human AChE,CHEMBL1150386,CHEMBL481,nM,50.5,10'-9M,50.5,"{'alogp': '4.09', 'aromatic_rings': 3, 'full_molformula': 'C33H38N4O6', 'full_mwt': '586.69', 'hba': 9, 'hbd': 1, 'heavy_atoms': 43, 'mw_freebase': '586.69', 'np_likeness_score': '0.26', 'num_ro5_violations': 1, 'psa': '114.20', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 4}",7.296708621881338
Inhibition of human AChE,CHEMBL1150386,CHEMBL464538,nM,10.0,10'-9M,10.0,"{'alogp': '5.33', 'aromatic_rings': 2, 'full_molformula': 'C27H38Br2N2O', 'full_mwt': '566.42', 'hba': 1, 'hbd': 0, 'heavy_atoms': 30, 'mw_freebase': '406.61', 'np_likeness_score': '0.52', 'num_ro5_violations': 1, 'psa': '17.07', 'qed_weighted': '0.34', 'ro3_pass': 'N', 'rtb': 12}",8.0
Inhibition of human recombinant AChE assessed as dissociation constant for enzyme-inhibitor complex by Lineweaver-Burk plot,CHEMBL1641598,CHEMBL464538,nM,10.0,uM,0.01,"{'alogp': '5.33', 'aromatic_rings': 2, 'full_molformula': 'C27H38Br2N2O', 'full_mwt': '566.42', 'hba': 1, 'hbd': 0, 'heavy_atoms': 30, 'mw_freebase': '406.61', 'np_likeness_score': '0.52', 'num_ro5_violations': 1, 'psa': '17.07', 'qed_weighted': '0.34', 'ro3_pass': 'N', 'rtb': 12}",8.0
Dissociation constant for enzyme-inhibitor complex of human recombinant AChE by Lineweaver-Burk plot analysis,CHEMBL1667816,CHEMBL464538,nM,10.0,uM,0.01,"{'alogp': '5.33', 'aromatic_rings': 2, 'full_molformula': 'C27H38Br2N2O', 'full_mwt': '566.42', 'hba': 1, 'hbd': 0, 'heavy_atoms': 30, 'mw_freebase': '406.61', 'np_likeness_score': '0.52', 'num_ro5_violations': 1, 'psa': '17.07', 'qed_weighted': '0.34', 'ro3_pass': 'N', 'rtb': 12}",8.0
